Date,Reform,EKRE,Centre,E200,SDE,Isamaa,VL,Koos,PP,Greens,ERK,Free,EÜRP,Res Publica,Coalition
07-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
08-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
09-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
10-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
11-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
12-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
13-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
14-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
15-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
16-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
17-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
18-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
19-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
20-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
21-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
22-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
23-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
24-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
25-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
26-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
27-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
28-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
29-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
30-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
31-Mar-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
01-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
02-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
03-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
04-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
05-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
06-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
07-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
08-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
09-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
10-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
11-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
12-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
13-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
14-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
15-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
16-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
17-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
18-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
19-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
20-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
21-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
22-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
23-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
24-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
25-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
26-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
27-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
28-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
29-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
30-Apr-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
01-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
02-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
03-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
04-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
05-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
06-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
07-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
08-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
09-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
10-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
11-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
12-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
13-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
14-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
15-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
16-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
17-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
18-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
19-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
20-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
21-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
22-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
23-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
24-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
25-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
26-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
27-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
28-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
29-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
30-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
31-May-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
01-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
02-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
03-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
04-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
05-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
06-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
07-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
08-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
09-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
10-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
11-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
12-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
13-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
14-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
15-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
16-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
17-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
18-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
19-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
20-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
21-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
22-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
23-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
24-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
25-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
26-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
27-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
28-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
29-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
30-Jun-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
01-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
02-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
03-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
04-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
05-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
06-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
07-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
08-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
09-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
10-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
11-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
12-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
13-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
14-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
15-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
16-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
17-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
18-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
19-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
20-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
21-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
22-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
23-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
24-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
25-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
26-Jul-99,15.90%,7.30%,23.40%,,15.20%,16.10%,,,,,,,6.10%,,7.60%
